trip_distance,fare_amount,winter,spring,summer,fall,PULongitude,PULatitude,DOLongitude,DOLatitude,pickup_datetime,dropoff_datetime,ride_duration,Early morning,Morning,Afternoon,Night,Holiday Proximity,label
1.46,7.0,0,1,0,0,-73.9721454850812,40.7568161553126,-73.9771193707357,40.7403592357115,2019-05-20 20:51:05,2019-05-20 20:57:15,0 days 00:06:10.000000000,0,0,0,0,0,B
1.57,8.0,1,0,0,0,-73.9721454850812,40.7568161553126,-73.99245532771059,40.748476361761796,2019-01-15 21:36:31,2019-01-15 21:46:57,0 days 00:10:26.000000000,0,0,0,0,0,C
8.1,24.0,0,1,0,0,-73.94582981800791,40.776534228995104,-73.8728037146871,40.7748673895178,2019-05-15 08:30:55,2019-05-15 08:47:46,0 days 00:16:51.000000000,0,1,0,0,0,I
1.28,6.5,0,0,0,1,-73.9520653308923,40.8042048286288,-73.95432487462709,40.8175772001908,2019-11-17 11:29:47,2019-11-17 11:36:19,0 days 00:06:32.000000000,0,1,0,0,0,B
1.38,6.0,0,1,0,0,-74.00249690862721,40.734611555981395,-73.99245532771059,40.748476361761796,2019-05-10 23:29:22,2019-05-10 23:34:07,0 days 00:04:45.000000000,0,0,0,1,0,B
1.5,10.5,0,0,0,1,-73.9774318381095,40.758226481221705,-73.9841761608222,40.759844740029294,2019-09-14 13:17:34,2019-09-14 13:32:19,0 days 00:14:45.000000000,0,0,1,0,0,D
2.25,9.5,1,0,0,0,-73.9449566676846,40.7906501597646,-73.9170580317151,40.80743953086439,2019-01-11 07:44:53,2019-01-11 07:55:16,0 days 00:10:23.000000000,0,1,0,0,0,C
0.7,4.5,0,0,0,1,-73.94582981800791,40.776534228995104,-73.9569723853064,40.7804914757347,2019-10-21 09:57:31,2019-10-21 10:00:12,0 days 00:02:41.000000000,0,1,0,0,0,A
5.15,18.0,1,0,0,0,-73.9769419924356,40.7476542811031,-73.9037132789432,40.7467977944692,2019-12-23 00:31:20,2019-12-23 00:50:24,0 days 00:19:04.000000000,1,0,0,0,0,G
1.1,8.5,0,1,0,0,-73.9597126787805,40.7668388165846,-73.97125597712959,40.7491720982236,2019-04-30 09:22:48,2019-04-30 09:34:04,0 days 00:11:16.000000000,0,1,0,0,0,C
0.8,5.0,1,0,0,0,-73.9651741989212,40.756589298489295,-73.9597126787805,40.7668388165846,2019-02-16 18:12:40,2019-02-16 18:17:17,0 days 00:04:37.000000000,0,0,0,0,0,B
2.12,11.5,0,0,0,1,-73.9904776189691,40.7403134645878,-73.9841761608222,40.759844740029294,2019-10-13 16:04:10,2019-10-13 16:19:28,0 days 00:15:18.000000000,0,0,1,0,0,D
1.9,8.0,1,0,0,0,-73.9907183626618,40.719211674204395,-73.97125597712959,40.7491720982236,2019-12-07 02:51:37,2019-12-07 02:58:46,0 days 00:07:09.000000000,1,0,0,0,0,C
1.15,7.0,0,1,0,0,-73.9967775123964,40.7425461606612,-74.00249690862721,40.734611555981395,2019-03-16 19:53:25,2019-03-16 20:01:31,0 days 00:08:06.000000000,0,0,0,0,0,B
2.75,11.5,0,1,0,0,-73.97281451745029,40.7917662467824,-73.9841761608222,40.759844740029294,2019-03-02 19:20:41,2019-03-02 19:36:43,0 days 00:16:02.000000000,0,0,0,0,0,D
1.39,7.5,0,0,0,1,-74.0083857570117,40.735248066679,-74.0071756920052,40.7253763405368,2019-10-29 00:05:29,2019-10-29 00:12:50,0 days 00:07:21.000000000,1,0,0,0,0,C
3.03,11.5,0,0,1,0,-73.9651741989212,40.756589298489295,-73.97827334184859,40.7841073645538,2019-06-03 22:14:00,2019-06-03 22:26:00,0 days 00:12:00.000000000,0,0,0,1,0,D
1.3,7.0,0,0,1,0,-73.97827334184859,40.7841073645538,-73.9656914919459,40.7685418846646,2019-06-29 12:20:50,2019-06-29 12:27:40,0 days 00:06:50.000000000,0,0,0,0,0,B
2.31,11.5,0,0,0,1,-73.9904776189691,40.7403134645878,-73.9651741989212,40.756589298489295,2019-10-29 19:53:43,2019-10-29 20:07:36,0 days 00:13:53.000000000,0,0,0,0,0,D
10.02,30.0,0,1,0,0,-73.99245532771059,40.748476361761796,-73.84821993627051,40.723465272359704,2019-05-17 01:43:38,2019-05-17 02:07:37,0 days 00:23:59.000000000,1,0,0,0,0,J
5.83,19.0,0,1,0,0,-73.8728037146871,40.7748673895178,-73.84821993627051,40.723465272359704,2019-05-20 20:01:13,2019-05-20 20:19:11,0 days 00:17:58.000000000,0,0,0,0,0,G
0.71,4.5,0,1,0,0,-73.9678083909732,40.797866268004,-73.9678083909732,40.797866268004,2019-04-01 18:43:32,2019-04-01 18:46:47,0 days 00:03:15.000000000,0,0,0,0,0,A
2.97,16.5,0,0,0,1,-73.9841761608222,40.759844740029294,-73.9852141243977,40.7279442789046,2019-09-19 20:16:22,2019-09-19 20:40:32,0 days 00:24:10.000000000,0,0,0,0,0,F
1.14,7.5,1,0,0,0,-73.9721454850812,40.7568161553126,-73.98878589284921,40.753514091774605,2019-01-11 15:57:30,2019-01-11 16:06:48,0 days 00:09:18.000000000,0,0,1,0,0,C
0.6,5.5,0,1,0,0,-73.9907183626618,40.719211674204395,-73.9852141243977,40.7279442789046,2019-03-17 04:54:49,2019-03-17 05:00:22,0 days 00:05:33.000000000,1,0,0,0,0,B
4.2,17.0,0,0,1,0,-73.98878589284921,40.753514091774605,-74.0161196692833,40.7116120831165,2019-06-08 20:42:50,2019-06-08 21:02:46,0 days 00:19:56.000000000,0,0,0,0,0,F
5.04,17.5,0,0,0,1,-73.9999401565074,40.7483972248318,-73.9855710635353,40.6953726093294,2019-09-17 01:06:46,2019-09-17 01:24:29,0 days 00:17:43.000000000,1,0,0,0,0,G
0.52,4.5,1,0,0,0,-73.9721454850812,40.7568161553126,-73.9774318381095,40.758226481221705,2019-12-31 06:24:39,2019-12-31 06:28:15,0 days 00:03:36.000000000,0,1,0,0,1,A
